City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date
530,raduzhnyy,62.0961,77.475,9.39,92,100,15.17,overcast clouds,RU,2021-12-11 05:02:01
531,fenoarivo atsinanana,-17.3667,49.4167,78.82,71,100,1.45,light rain,MG,2021-12-11 05:02:02
532,hirara,24.8,125.2833,72.75,56,72,14.97,broken clouds,JP,2021-12-11 05:02:02
533,felanitx,39.4696,3.1483,55.96,79,86,6.58,overcast clouds,ES,2021-12-11 05:02:02
534,beboto,8.2668,16.939,67.12,29,55,2.73,broken clouds,TD,2021-12-11 05:02:03
535,lambarene,-0.7001,10.2406,75.02,96,99,1.59,overcast clouds,GA,2021-12-11 05:02:03
536,lasa,46.6166,10.7002,25.63,93,94,7.81,overcast clouds,IT,2021-12-11 05:02:04
537,suntar,62.1444,117.6319,-0.45,93,100,5.95,overcast clouds,RU,2021-12-11 05:02:04
538,monte gordo,37.1819,-7.4523,57.15,88,18,13.29,few clouds,PT,2021-12-11 05:02:04
539,nanakuli,21.3906,-158.1547,76.98,65,20,4.61,few clouds,US,2021-12-11 05:02:05
540,sawankhalok,17.316,99.8319,90.7,55,5,2.19,clear sky,TH,2021-12-11 05:02:05
541,shenjiamen,29.9576,122.298,59.74,66,8,6.15,clear sky,CN,2021-12-11 05:02:05
542,huarmey,-10.0681,-78.1522,67.44,87,100,7.18,overcast clouds,PE,2021-12-11 05:02:06
543,karlskoga,59.3267,14.5239,34.92,99,100,3.96,light rain,SE,2021-12-11 05:02:06
544,santa maria,-29.6842,-53.8069,63.28,66,99,7.09,overcast clouds,BR,2021-12-11 05:02:06
545,paracambi,-22.6086,-43.7128,73.22,93,84,2.01,broken clouds,BR,2021-12-11 05:02:07
546,marquette,46.5333,-87.6335,28.81,94,100,11.9,snow,US,2021-12-11 05:02:07
547,kabare,-2.4683,28.8242,64.11,92,99,1.79,light rain,CD,2021-12-11 05:02:07
548,smithers,54.7804,-127.1743,32.32,86,90,8.05,snow,CA,2021-12-11 05:03:08
